PLOTNO,BMTOTPLOT.g,YEAR
1,998.1864905,2020
2,457.2569328,2020
3,163.7590085,2020
4,443.840851,2020
5,710.1016446,2020
6,192.2010021,2020
7,316.0363433,2020
8,418.2654249,2020
9,833.9463431,2020
10,256.3354411,2020
11,173.0552262,2020
12,105.6330185,2020
13,366.7735347,2020
14,20.50957354,2020
15,801.7360783,2020
16,623.2182194,2020
17,446.0057583,2020
18,682.9179727,2020
19,451.2513106,2020
20,69.66957848,2020
21,926.1564597,2020
22,381.6280284,2020
23,40.41715193,2020
24,644.9933791,2020
25,710.1016446,2020
26,153.433525,2020
27,355.9371912,2020
28,436.7669203,2020
29,668.6103414,2020
30,294.1158237,2020
31,123.0489679,2020
32,101.3476852,2020
33,162.3189483,2020
34,60.66916408,2020
35,833.0555067,2020
36,690.4490474,2020
37,442.7569508,2020
38,898.4707806,2020
39,908.3048709,2020
40,91.71791201,2020
41,221.3585226,2020
42,770.3063038,2020
43,110.5676795,2020
44,860.3042579,2020
45,428.6237092,2020
46,296.0110053,2020
47,82.77895601,2020
48,552.0226949,2020
49,594.2000025,2020
50,565.3936179,2020
51,47.31951369,2020
52,258.5354857,2020
53,82.77895601,2020
54,194.5202638,2020
55,533.8763654,2020
56,184.5916171,2020
57,554.8264937,2020
58,402.5016101,2020
59,214.1506127,2020
60,382.3206158,2020
61,300.7981487,2020
62,773.9117751,2020
63,135.5394804,2020
64,800.276511,2020
65,428.6237092,2020
66,265.6823126,2020
67,354.6053165,2020
68,578.3100299,2020
69,558.6986831,2020
70,895.6751088,2020
71,196.904879,2020
72,269.4708727,2020
73,166.3053517,2020
74,161.7889444,2020
75,549.6974778,2020
76,291.0292995,2020
77,467.9241211,2020
78,302.1786412,2020
79,186.6041973,2020
80,398.0880461,2020
81,179.2358143,2020
82,815.6035666,2020
83,350.5067846,2020
84,81.10377574,2020
85,571.3269422,2020
86,394.3481708,2020
87,293.2703017,2020
88,398.7039187,2020
89,177.9524575,2020
90,781.52551,2020
92,214.5830858,2020
93,110.8358086,2020
94,518.6497049,2020
95,8.555872928,2020
96,777.166418,2020
97,852.551616,2020
98,214.7877991,2020
99,69.43682777,2020
100,723.7647703,2020
101,127.8791847,2020
102,415.8790763,2020
103,332.0052892,2020
104,91.47189867,2020
105,425.7445326,2020
106,256.1472025,2020
107,376.1061257,2020
108,357.0875065,2020
109,138.5638504,2020
110,697.7154576,2020
112,131.0152735,2020
113,45.87395018,2020
114,432.6248402,2020
115,35.92721865,2020
116,701.1923162,2020
117,793.9084497,2020
118,29.25242654,2020
119,189.4728741,2020
120,647.7848719,2020
121,727.9400099,2020
122,110.5676795,2020
123,291.0292995,2020
124,151.4512407,2020
125,112.0386032,2020
126,172.812121,2020
127,584.3433032,2020
128,359.1437666,2020
129,241.9726132,2020
130,92.25609696,2020
131,151.6616319,2020
132,215.7625775,2020
133,189.0354731,2020
134,773.9117751,2020
135,59.33544531,2020
136,639.0999616,2020
137,185.4893007,2020
138,929.3616809,2020
139,486.0864655,2020
140,60.37868547,2020
141,514.6905059,2020
142,110.5676795,2020
143,184.5916171,2020
144,161.8344855,2020
145,189.7407571,2020
146,76.07641359,2020
147,741.6191431,2020
148,329.5232153,2020
149,274.3422135,2020
150,148.0217289,2020
151,174.2155315,2020
152,207.8572233,2020
153,126.019238,2020
154,779.3586765,2020
155,71.22486509,2020
156,426.0914051,2020
157,241.1775172,2020
158,929.3616809,2020
159,628.107543,2020
160,101.1065184,2020
161,295.0071236,2020
162,28.14980713,2020
163,181.6328535,2020
164,855.8001694,2020
165,595.7210573,2020
166,315.9027812,2020
167,60.66916408,2020
168,428.6237092,2020
169,159.5121545,2020
170,457.2701363,2020
171,357.3689562,2020
