PLOTNO,SPPNO,RAINTRT,DISPERSION,BLOCK,SUBBLOCK,AsteraceaeCNT,FabaceaeCNT,PoaceaeCNT,SPPNO18,PropAST,PropFAB,PropPOA,DISPERSION.FOURLEVELS,PAIR,BLANK,SnglGrs
1,5,50,OVER,EAST,A,2,2,1,6,0.2,0.4,0.4,OVER,A1,0,POA.0
2,3,50,UNDER,EAST,A,3,0,0,3,0,1,0,AST,A2,0,POA.0
3,1,50,UNDER,EAST,A,0,1,0,1,0,0,1,FAB,A3,0,POA.0
4,6,50,UNDER,EAST,A,6,0,0,6,0,1,0,AST,A4,0,POA.0
5,1,50,UNDER,EAST,A,0,0,1,1,1,0,0,POA,A5,0,POA.1
6,1,50,UNDER,EAST,A,1,0,0,1,0,1,0,AST,A6,0,POA.0
7,2,50,OVER,EAST,A,1,1,0,3,0,0.5,0.5,OVER,A7,0,POA.0
8,3,50,UNDER,EAST,A,0,3,0,3,0,0,1,FAB,A8,0,POA.0
9,6,50,OVER,EAST,A,2,2,2,6,0.333333333,0.333333333,0.333333333,OVER,A9,0,POA.0
10,2,50,OVER,EAST,A,1,1,0,2,0,0.5,0.5,OVER,A10,0,POA.0
11,1,50,UNDER,EAST,A,0,1,0,1,0,0,1,FAB,A11,0,POA.0
12,2,50,UNDER,EAST,A,0,2,0,2,0,0,1,FAB,A12,0,POA.0
13,1,50,UNDER,EAST,A,0,0,1,1,1,0,0,POA,A13,0,POA.1
14,1,50,UNDER,EAST,A,1,0,0,1,0,1,0,AST,A14,0,POA.0
15,2,50,OVER,EAST,A,1,0,1,2,0.5,0.5,0,OVER,A15,0,POA.0
16,2,50,UNDER,EAST,A,0,0,2,2,1,0,0,POA,A16,0,POA.1
17,3,50,OVER,EAST,A,1,1,1,3,0.333333333,0.333333333,0.333333333,OVER,A17,0,POA.0
18,6,50,UNDER,EAST,A,0,6,0,6,0,0,1,FAB,A18,0,POA.0
19,2,50,UNDER,EAST,A,2,0,0,2,0,1,0,AST,A19,0,POA.0
20,2,50,OVER,EAST,A,0,1,1,2,0.5,0,0.5,OVER,A20,0,POA.0
21,5,150,OVER,EAST,A,2,2,1,6,0.2,0.4,0.4,OVER,A1,0,POA.0
22,3,150,UNDER,EAST,A,3,0,0,3,0,1,0,AST,A2,0,POA.0
23,1,150,UNDER,EAST,A,0,1,0,1,0,0,1,FAB,A3,0,POA.0
24,6,150,UNDER,EAST,A,6,0,0,6,0,1,0,AST,A4,0,POA.0
25,1,150,UNDER,EAST,A,0,0,1,1,1,0,0,POA,A5,0,POA.1
26,1,150,UNDER,EAST,A,1,0,0,1,0,1,0,AST,A6,0,POA.0
27,2,150,OVER,EAST,A,1,1,0,3,0,0.5,0.5,OVER,A7,0,POA.0
28,3,150,UNDER,EAST,A,0,3,0,3,0,0,1,FAB,A8,0,POA.0
29,6,150,OVER,EAST,A,2,2,2,6,0.333333333,0.333333333,0.333333333,OVER,A9,0,POA.0
30,2,150,OVER,EAST,A,1,1,0,2,0,0.5,0.5,OVER,A10,0,POA.0
31,1,150,UNDER,EAST,A,0,1,0,1,0,0,1,FAB,A11,0,POA.0
32,2,150,UNDER,EAST,A,0,2,0,2,0,0,1,FAB,A12,0,POA.0
33,1,150,UNDER,EAST,A,0,0,1,1,1,0,0,POA,A13,0,POA.1
34,1,150,UNDER,EAST,A,1,0,0,1,0,1,0,AST,A14,0,POA.0
35,2,150,OVER,EAST,A,1,0,1,2,0.5,0.5,0,OVER,A15,0,POA.0
36,2,150,UNDER,EAST,A,0,0,2,2,1,0,0,POA,A16,0,POA.1
37,3,150,OVER,EAST,A,1,1,1,3,0.333333333,0.333333333,0.333333333,OVER,A17,0,POA.0
38,6,150,UNDER,EAST,A,0,6,0,6,0,0,1,FAB,A18,0,POA.0
39,2,150,UNDER,EAST,A,2,0,0,2,0,1,0,AST,A19,0,POA.0
40,2,150,OVER,EAST,A,0,1,1,2,0.5,0,0.5,OVER,A20,0,POA.0
41,1,150,UNDER,EAST,B,0,0,1,1,1,0,0,POA,B1,0,POA.1
42,2,150,OVER,EAST,B,1,1,0,2,0,0.5,0.5,OVER,B2,0,POA.0
43,1,150,UNDER,EAST,B,0,1,0,2,0,0,1,FAB,B3,0,POA.0
44,3,150,OVER,EAST,B,1,1,1,3,0.333333333,0.333333333,0.333333333,OVER,B4,0,POA.0
45,1,150,UNDER,EAST,B,1,0,0,1,0,1,0,AST,B5,0,POA.0
46,6,150,OVER,EAST,B,2,2,2,6,0.333333333,0.333333333,0.333333333,OVER,B6,0,POA.0
47,1,150,UNDER,EAST,B,0,0,1,1,1,0,0,POA,B7,0,POA.1
48,6,150,UNDER,EAST,B,6,0,0,6,0,1,0,AST,B8,0,POA.0
49,2,150,OVER,EAST,B,1,0,1,2,0.5,0.5,0,OVER,B9,0,POA.0
50,1,150,UNDER,EAST,B,1,0,0,1,0,1,0,AST,B10,0,POA.0
51,2,150,UNDER,EAST,B,2,0,0,2,0,1,0,AST,B11,0,POA.0
52,3,150,OVER,EAST,B,1,1,1,3,0.333333333,0.333333333,0.333333333,OVER,B12,0,POA.0
53,1,150,UNDER,EAST,B,0,0,1,2,1,0,0,POA,B13,0,POA.1
54,1,150,UNDER,EAST,B,0,1,0,1,0,0,1,FAB,B14,0,POA.0
55,3,150,UNDER,EAST,B,3,0,0,3,0,1,0,AST,B15,0,POA.0
56,1,150,UNDER,EAST,B,0,1,0,1,0,0,1,FAB,B16,0,POA.0
57,5,150,UNDER,EAST,B,0,0,5,6,1,0,0,POA,B17,0,POA.1
58,2,150,UNDER,EAST,B,0,2,0,2,0,0,1,FAB,B18,0,POA.0
59,3,150,UNDER,EAST,B,0,0,3,3,1,0,0,POA,B19,0,POA.1
60,6,150,OVER,EAST,B,2,2,2,6,0.333333333,0.333333333,0.333333333,OVER,B20,0,POA.0
61,1,50,UNDER,EAST,B,0,0,1,1,1,0,0,POA,B1,0,POA.1
62,2,50,OVER,EAST,B,1,1,0,2,0,0.5,0.5,OVER,B2,0,POA.0
63,1,50,UNDER,EAST,B,0,1,0,2,0,0,1,FAB,B3,0,POA.0
64,3,50,OVER,EAST,B,1,1,1,3,0.333333333,0.333333333,0.333333333,OVER,B4,0,POA.0
65,1,50,UNDER,EAST,B,1,0,0,1,0,1,0,AST,B5,0,POA.0
66,6,50,OVER,EAST,B,2,2,2,6,0.333333333,0.333333333,0.333333333,OVER,B6,0,POA.0
67,1,50,UNDER,EAST,B,0,0,1,1,1,0,0,POA,B7,0,POA.1
68,6,50,UNDER,EAST,B,6,0,0,6,0,1,0,AST,B8,0,POA.0
69,2,50,OVER,EAST,B,1,0,1,2,0.5,0.5,0,OVER,B9,0,POA.0
70,1,50,UNDER,EAST,B,1,0,0,1,0,1,0,AST,B10,0,POA.0
71,2,50,UNDER,EAST,B,2,0,0,2,0,1,0,AST,B11,0,POA.0
72,3,50,OVER,EAST,B,1,1,1,3,0.333333333,0.333333333,0.333333333,OVER,B12,0,POA.0
73,1,50,UNDER,EAST,B,0,0,1,2,1,0,0,POA,B13,0,POA.1
74,1,50,UNDER,EAST,B,0,1,0,1,0,0,1,FAB,B14,0,POA.0
75,3,50,UNDER,EAST,B,3,0,0,3,0,1,0,AST,B15,0,POA.0
76,1,50,UNDER,EAST,B,0,1,0,1,0,0,1,FAB,B16,0,POA.0
77,5,50,UNDER,EAST,B,0,0,5,6,1,0,0,POA,B17,0,POA.1
78,2,50,UNDER,EAST,B,0,2,0,2,0,0,1,FAB,B18,0,POA.0
79,3,50,UNDER,EAST,B,0,0,3,3,1,0,0,POA,B19,0,POA.1
80,6,50,OVER,EAST,B,2,2,2,6,0.333333333,0.333333333,0.333333333,OVER,B20,0,POA.0
81,6,50,OVER,EAST,C,2,2,2,6,0.333333333,0.333333333,0.333333333,OVER,C1,0,POA.0
82,6,50,OVER,EAST,C,2,2,2,6,0.333333333,0.333333333,0.333333333,OVER,C2,0,POA.0
83,1,50,UNDER,EAST,C,0,1,0,1,0,0,1,FAB,C3,0,POA.0
84,2,50,UNDER,EAST,C,0,0,2,2,1,0,0,POA,C4,0,POA.1
85,3,50,OVER,EAST,C,1,1,1,3,0.333333333,0.333333333,0.333333333,OVER,C5,0,POA.0
86,2,50,UNDER,EAST,C,0,0,2,3,1,0,0,POA,C6,0,POA.1
87,5,50,UNDER,EAST,C,0,0,5,6,1,0,0,POA,C7,0,POA.1
88,2,50,UNDER,EAST,C,2,0,0,2,0,1,0,AST,C8,0,POA.0
