PLOTNO,DryWt.g,DryWt.g.m2,YEAR,log10RootBiomass
1,0.2502,438.9120137,2020,2.642377468
2,0.2071,363.3040689,2020,2.560270262
3,0.1013,177.704984,2020,2.249699608
4,0.4175,732.3971451,2020,2.864746643
5,0.3208,562.7616866,2020,2.750324523
6,0.1677,294.1868293,2020,2.468623226
7,0.1748,306.6419664,2020,2.486631591
8,1.3974,2451.381487,2020,3.389410902
9,0.1849,324.3598375,2020,2.511027074
10,0.315,552.5870676,2020,2.742400717
11,0.1682,295.0639516,2020,2.469916154
12,0.079,138.5853281,2020,2.141717254
13,0.0765,134.1997164,2020,2.127751598
14,0.2235,392.0736813,2020,2.59336769
15,0.3513,616.2661487,2020,2.789768313
16,1.9376,3399.024451,2020,3.531354289
17,0.6771,1187.799059,2020,3.074742977
18,0.0505,88.58935528,2020,1.947381541
19,0.1253,219.8068558,2020,2.342041234
20,0.269,471.8918133,2020,2.673842443
21,0.2099,368.2159539,2020,2.566102602
22,0.3778,662.7536322,2020,2.821352117
23,0.0602,105.6055285,2020,2.023686654
24,0.3283,575.9185216,2020,2.760361046
25,0.4245,744.6768578,2020,2.871967858
26,0.0658,115.4292986,2020,2.062316057
27,0.0885,155.2506523,2020,2.191033434
28,0.0559,98.06227644,2020,1.991501971
29,0.1224,214.7195463,2020,2.331871581
30,0.0249,43.68069201,2020,1.64028951
31,0.2325,407.8618832,2020,2.61051312
32,0.3491,612.4068105,2020,2.787040012
33,0.2414,423.4746607,2020,2.626827429
34,0.0519,91.0452978,2020,1.959257521
35,0.1915,335.9378522,2020,2.526258941
36,0.829,1454.268822,2020,3.162644693
37,0.1955,342.9548308,2020,2.535236925
38,0.0951,166.8286671,2020,2.22227068
39,0.103,180.6871999,2020,2.256927388
40,0.0531,93.15039139,2020,1.969184684
41,0.161,282.4333901,2020,2.450916039
42,0.0261,45.7857856,2020,1.66073067
43,0.1871,328.2191757,2020,2.51616395
44,0.2835,497.3283608,2020,2.696643226
45,0.4084,716.4335187,2020,2.855175896
46,0.333,584.1634715,2020,2.766534396
47,0.0702,123.1479751,2020,2.090427275
48,0.1715,300.852959,2020,2.478354287
49,0.2512,440.6662583,2020,2.644109798
50,0.0965,169.2846096,2020,2.228617476
51,0.0284,49.82054832,2020,1.697408503
52,0.0235,41.22474949,2020,1.615158025
53,0.1102,193.3177614,2020,2.286271757
54,0.084,147.3565514,2020,2.168369449
55,0.0782,137.1819323,2020,2.137296916
56,0.038,66.66129704,2020,1.82387376
57,0.192,336.8149745,2020,2.527391392
58,0.1723,302.2563547,2020,2.48037544
59,0.113,198.2296465,2020,2.297168606
60,0.6393,1121.488611,2020,3.049794867
61,0.165,289.4503687,2020,2.461574107
62,0.0995,174.5473436,2020,2.241913244
63,0.0535,93.85208926,2020,1.972443945
64,0.0473,82.97577237,2020,1.918951304
65,0.286,501.7139725,2020,2.700456196
66,0.154,270.1536775,2020,2.431610884
67,0.372,652.5790132,2020,2.814633103
68,0.5472,959.9226774,2020,2.982236252
69,0.4602,807.3033921,2020,2.907036777
70,0.3378,592.5838458,2020,2.772749808
71,0.0593,104.0267083,2020,2.017144856
72,0.183,321.0267726,2020,2.506541253
73,0.8702,1526.543702,2020,3.183709242
74,0.0412,72.27487995,2020,1.858987379
75,0.0112,19.64754018,2020,1.293308186
76,0.0571,100.16737,2020,2.000726271
77,0.5882,1031.846708,2020,3.013615183
78,0.8371,1468.478204,2020,3.166867505
79,0.0912,159.9871129,2020,2.204085001
80,0.077,135.0768387,2020,2.130580888
81,0.162,284.1876348,2020,2.453605177
82,0.0855,149.9879183,2020,2.176056278
83,0.0577,101.2199168,2020,2.005265976
84,0.0036,6.315280772,2020,0.800392664
85,0.4536,795.7253773,2020,2.900763209
86,0.157,275.4164115,2020,2.439989815
87,0.2637,462.5943166,2020,2.665200293
88,0.3595,630.6509549,2020,2.799789058
89,0.0813,142.6200908,2020,2.154180709
