Plot,Richness,Rain,Subblock,CommComp,Ast10,Fab10,Poa10,TwoSpp,TwoSppFab,n.k,k,A,k2.5,k97.5,a2.5,a97.5,PropPanvir.Rlzd,Cover,PhyloDistPv,Percent.C,Percent.N,CN,CNdiff,Cdiff,Ndiff,ShannonsH.Bacteria,ShannonsH.FungSapr,Richness.Bacteria,Richness.FungSapr,AvgDistBact,AvgDistFung,CE,PropPanvir.Pntd
1,6,50,A,OVER,A1,F1,P1,NA,NA,5,0.001812363,2.475706483,0.001536358,0.002092104,2.405314521,2.54646418,0.301939533,0.858733333,0.204625283,41.57,1.04,39.97115385,-6.30362791,-0.703571429,0.121428571,5.58115206,3.462074574,446,90,25.87720543,15.90220425,9.499818884,0.166666667
2,3,50,A,AST,A1,F0,P0,NA,NA,5,0.001781602,2.476133448,0.000157525,0.003544287,2.054566006,2.911454837,0,0.746666667,0.304858218,42.21,1.02,41.38235294,-4.892428815,-0.063571429,0.101428571,5.44661277,3.482731845,386,79,37.79969362,24.41079335,3.420368108,0
3,1,50,A,FAB,A0,F1,P0,NA,NA,5,0.002794036,2.541519136,0.002132755,0.003482766,2.38198284,2.702836126,0,0.244,0.2706,40.69,1.15,35.3826087,-10.89217306,-1.583571429,0.231428571,5.234758904,2.862078417,325,56,35.51046989,21.57839118,0.178397783,0
4,6,50,A,AST,A1,F0,P0,NA,NA,5,0.002003099,2.524738559,0.000709375,0.0033884,2.189030545,2.868806567,0,0.699166667,0.295091956,42.05,0.84,50.05952381,3.784742053,-0.223571429,-0.078571429,5.858089355,3.901715432,645,99,37.71519066,24.1234409,0.827422752,0
5,1,50,A,POA,A0,F0,P1,NA,NA,5,0.001790885,2.469502642,0.001107291,0.002497834,2.29469611,2.646598046,1,0.733333333,0,42.19,0.96,43.94791667,-2.326865089,-0.083571429,0.041428571,5.354781286,4.110656672,402,116,0,0,6.639098062,1
6,1,50,A,AST,A1,F0,P0,NA,NA,5,0.002353169,2.515305771,0.001233532,0.003547046,2.234555308,2.801830935,0,0.354,0.2884,40.93,1.09,37.55045872,-8.724323041,-1.343571429,0.171428571,NA,2.403811413,NA,64,36.46824418,22.9730132,3.587290129,0
7,3,50,A,OVER,A1,F1,P1,AFP,F1,5,0.002224333,2.482206045,0.0010943,0.003428156,2.200334618,2.770011337,0,0.481033333,0.348313268,41.23,1.19,34.64705882,-11.62772293,-1.043571429,0.271428571,5.292891033,2.874420126,437,70,38.97820624,22.03037514,0.31934589,0
8,3,50,A,FAB,A0,F1,P0,NA,NA,5,0.002280931,2.496097816,0.001713701,0.002866332,2.355748541,2.637881108,0,0.666666667,0.33607516,40.58,0.87,46.64367816,0.368896405,-1.693571429,-0.048571429,5.276004496,3.65941482,341,79,38.85097057,22.16785713,3.644516185,0
9,6,50,A,OVER,A1,F1,P1,NA,NA,5,0.001788283,2.468026616,0.000219782,0.003486323,2.063506272,2.885207293,0,0.684166667,0.272705142,41.43,1.02,40.61764706,-5.657134697,-0.843571429,0.101428571,5.422623423,3.920608969,391,81,36.56263501,22.15375384,7.032118826,0
10,2,50,A,OVER,A1,F1,P0,AF,F1,4,0.001987358,2.455122239,0.000140719,0.004207263,2.02696057,2.898228411,0,0.3935,0.284420604,42.04,0.81,51.90123457,5.626452812,-0.233571429,-0.108571429,5.748175311,3.518380107,512,74,37.97732561,22.8306073,5.72833643,0
11,1,50,A,FAB,A0,F1,P0,NA,NA,4,0.002583245,2.606726276,0.000833013,0.004675827,2.195898648,3.030069549,0,0.491666667,0.2837,41.33,1.06,38.99056604,-7.284215718,-0.943571429,0.141428571,5.430015198,3.642917344,384,79,33.63449552,21.60682731,1.372825067,0
